Period,File,ActiveOpProfiles,TotalQuantityOps
MP1,NASWI_MP1_02_Noisemap - Flight Operations.csv,101,57.57142837
MP1,NASWI_MP1_03_Noisemap - Flight Operations.csv,106,52.42857125
MP1,NASWI_MP1_05_Noisemap - Flight Operations.csv,67,32.42857143
MP1,NASWI_MP1_08_Noisemap - Flight Operations.csv,119,85.85714219
MP1,NASWI_MP1_09_Noisemap - Flight Operations.csv,131,105.85714304
MP1,NASWI_MP1_Noisemap - Flight Operations.csv,157,195.71471378
MP1,NASWI - Aggregate Flight Operations MP1.csv,157,195.71471488
MP2,NASWI_MP2_02_Noisemap - Flight Operations.csv,119,70.14285719
MP2,NASWI_MP2_03_Noisemap - Flight Operations.csv,131,73.42857139
MP2,NASWI_MP2_05_Noisemap - Flight Operations.csv,113,50.85714292
MP2,NASWI_MP2_08_Noisemap - Flight Operations.csv,128,80.28571436
MP2,NASWI_MP2_09_Noisemap - Flight Operations.csv,128,76.00000001
MP2,NASWI_MP2_Noisemap - Flight Operations.csv,149,131.57157128
MP2,NASWI - Aggregate Flight Operations MP2.csv,149,131.57157128
MP3,NASWI_MP3_02_Noisemap - Flight Operations.csv,85,140.5705716
MP3,NASWI_MP3_03_Noisemap - Flight Operations.csv,91,119.284857
MP3,NASWI_MP3_05_Noisemap - Flight Operations.csv,83,105.28485697
MP3,NASWI_MP3_08_Noisemap - Flight Operations.csv,93,150.42771365
MP3,NASWI_MP3_09_Noisemap - Flight Operations.csv,95,143.71342841
MP3,NASWI_MP3_Noisemap - Flight Operations.csv,107,221.85671368
MP3,NASWI - Aggregate Flight Operations MP3.csv,107,221.85671368
MP4,NASWI_MP4_02_Noisemap - Flight Operations.csv,61,73.78299998
MP4,NASWI_MP4_03_Noisemap - Flight Operations.csv,67,63.49728564
MP4,NASWI_MP4_05_Noisemap - Flight Operations.csv,61,54.06871418
MP4,NASWI_MP4_08_Noisemap - Flight Operations.csv,68,81.92585706
MP4,NASWI_MP4_09_Noisemap - Flight Operations.csv,67,71.92585704
MP4,NASWI_MP4_Noisemap - Flight Operations.csv,77,127.0001428
MP4,NASWI - Aggregate Flight Operations MP4.csv,77,127.0001428
