"NAME","ZIP","TYPE","Level","LAT","LON","Delay"
"Columbia College","98278","Postsecondary",70,48.337887,-122.671412,"4-7"
"Coupeville High School","98239","Public",65,48.206754,-122.684785,"3-5"
"Coupeville Middle School","98239","Public",65,48.206754,-122.684785,"3-5"
"Open Den","98239","Public",65,48.206754,-122.684785,"3-5"
"Coupeville Elementary School","98239","Public",60,48.211433,-122.688184,"2-3"
"Island Juvenile Detention Education Program","98239","Public",60,48.217403,-122.685597,"2-3"
"Island County Corrections Facility Ed Program","98239","Public",60,48.217403,-122.685597,"2-3"
"Crescent Harbor Elem","98277","Public",60,48.3066,-122.5971,"2-3"
"North Whidbey Middle School","98277","Public",55,48.2993,-122.6479,"1"
"Oak Harbor Elementary","98277","Public",55,48.297,-122.644,"1"
"Oak Harbor High School","98277","Public",55,48.3017,-122.6683,"1"
"Olympic View Elem","98277","Public",55,48.301,-122.6335,"1"
"Hillcrest Elementary","98277","Public",55,48.301764,-122.676462,"1"
"Igrad Academy","98277","Public",55,48.3017,-122.6683,"1"
"Oak Harbor Christian School","98277","Private",55,48.29765,-122.650531,"1"
"North Whidbey Kids Academy","98277","Private",55,48.30129,-122.651231,"1"
"Fidalgo Elementary","98221","Public",NA,48.4467,-122.5827,"NA-NA"
"Mount Erie Elementary","98221","Public",NA,48.4872,-122.6187,"NA-NA"
"Bay View Elementary","98233","Public",NA,48.487943,-122.417395,"NA-NA"
"Toddler Learning Center","98277","Public",NA,48.2906,-122.635268,"NA-NA"
"La Conner Elementary","98257","Public",NA,48.395573,-122.491258,"NA-NA"
"La Conner High School","98257","Public",NA,48.395583,-122.489791,"NA-NA"
"La Conner Middle","98257","Public",NA,48.394765,-122.489504,"NA-NA"
"Broadview Elementary","98277","Public",NA,48.2947,-122.6668,"NA-NA"
"Oak Harbor Intermediate School","98277","Public",NA,48.2941,-122.6599,"NA-NA"
"Special Education","98277","Public",NA,48.2958,-122.6569,"NA-NA"
"Salish Coast Elementary","98368","Public",NA,48.112838,-122.792511,"NA-NA"
"Port Townsend High School","98368","Public",NA,48.1182,-122.7678,"NA-NA"
"Blue Heron Middle School","98368","Public",NA,48.129,-122.7791,"NA-NA"
"Ocean","98368","Public",NA,48.128959,-122.779128,"NA-NA"
"Utsalady Elementary","98282","Public",NA,48.2347,-122.4684,"NA-NA"
"Elger Bay Elementary","98282","Public",NA,48.1452,-122.4684,"NA-NA"
"Der Kinderhuis Montessori","98277","Private",NA,48.29098,-122.648871,"NA-NA"
"Jefferson Community School","98368","Private",NA,48.11592,-122.754651,"NA-NA"
"Swan School","98368","Private",NA,48.11708,-122.781761,"NA-NA"
